"","x","y","z","omega","katsse","akev","possture"
"402","1155","-441","220","1.71694","0","0","sits down"
"403","1151","-442","225","0.285162","0","0","sits down"
"404","1155","-441","231","1.132767","0","0","sits down"
"405","1148","-441","236","0.55084","0","0","sits down"
"406","1148","-441","224","1.44994","0","0","sits down"
"407","1148","-441","231","0.568428","0","0","sits down"
"408","1150","-440","227","0","0","0","sits down"
"409","1166","-436","224","0","0","0","sits down"
"410","1150","-440","227","0.573107","0","0","sits down"
"411","1151","-439","231","0.430655","0","0","sits down"
"412","1151","-436","227","2.674469","0","0","sits down"
"413","1151","-433","227","0.270748","0","0","sits down"
"414","1148","-433","224","0","0","0","sits down"
"415","1148","-433","228","2.90723","0","0","sits down"
"416","1148","-442","231","0.720799","0","0","sits down"
"417","1151","-441","232","0","0","0","sits down"
"418","1145","-416","224","0.949241","0","0","sits down"
"419","1151","-420","210","0","0","0","sits down"
"420","1150","-425","224","2.046468","0","0","sits down"
"421","1151","-423","224","0","0","0","sits down"
"422","1151","-424","223","0","0","0","sits down"
"423","1150","-424","219","0.373959","0","0","sits down"
"424","1148","-420","230","0","0","0","sits down"
"425","1148","-420","231","0.620345","0","0","sits down"
"426","1155","-420","231","0","0","0","sits down"
"427","1151","-417","222","0","0","0","sits down"
"428","1150","-424","223","0.730779","0","0","sits down"
"429","1150","-420","227","0","0","0","sits down"
"430","1155","-423","224","1.578574","0","0","sits down"
"431","1148","-424","240","0","0","0","sits down"
"432","1151","-413","220","1.396026","0","0","sits down"
"433","1150","-433","224","5.111982","0","0","sits down"
"434","1148","-436","225","0","0","0","sits down"
"435","1150","-441","226","0.635883","0","0","sits down"
"436","1151","-436","225","0","0","0","sits down"
"437","1150","-434","227","0.463969","0","0","sits down"
"438","1150","-440","227","0","0","0","sits down"
"439","1148","-439","227","0","0","0","sits down"
"440","1144","-439","231","0.916683","0","0","sits down"
"441","1164","-447","227","1.159917","0","0","sits down"
"442","1151","-433","255","1.584238","0","0","sits down"
"443","1008","-893","345","5.943264","0","0","sits down"
"444","63","-1473","591","10.796387","0","0","walk"
"445","31","-1480","504","0","0","0","walk"
"446","108","-1360","540","13.686282","0","0","walk"
"447","204","-1505","478","22.144731","0","0","walk"
"448","99","-1444","504","21.76549","0","0","walk"
"449","179","-1639","359","20.894686","0","0","none"
"450","451","-1348","486","12.30595","0","0","walk"
"451","431","-1348","451","7.231081","0","0","walk"
"452","416","-1377","499","11.961423","0","0","walk"
"453","80","-1613","623","1.872986","0","0","walk"
"454","62","-1412","463","16.645331","0","0","walk"
"455","72","-1505","454","19.468479","0","0","walk"
"456","41","-1505","488","0","0","0","walk"
"457","86","-1544","480","3.634974","0","0","walk"
"458","268","-1423","540","23.553226","0","0","walk"
"459","271","-1416","590","10.352019","0","0","walk"
"460","63","-1497","481","25.621282","0","0","walk"
"461","195","-1439","396","12.994153","0","0","walk"
"462","169","-1485","476","16.338342","0","0","walk"
"463","140","-1481","519","16.138752","0","0","walk"
"464","127","-1472","600","13.014196","0","0","walk"
"465","51","-1482","591","0.874474","0","0","walk"
"466","71","-1480","583","0","0","0","walk"
"467","56","-1485","582","0.846684","0","0","walk"
"468","63","-1482","591","0.442536","0","0","walk"
"469","71","-1485","590","1.145803","0","0","walk"
"470","64","-1481","588","0.735136","0","0","walk"
"471","81","-1480","575","0","0","0","walk"
"472","67","-1480","592","0","0","0","walk"
"473","56","-1492","593","0.377369","0","0","walk"
"474","63","-1480","587","0.449197","0","0","walk"
"475","72","-1481","577","0.776557","0","0","walk"
"476","56","-1485","583","0.42632","0","0","walk"
"477","60","-1485","579","0.773479","0","0","walk"
"478","62","-1485","583","0.70136","0","0","walk"
"479","107","-1481","547","0","0","0","walk"
"480","113","-1485","460","1.641981","0","0","walk"
"481","463","-1352","531","15.616619","0","0","walk"
"482","169","-1425","551","0.863929","0","0","walk"
"483","-15","-1524","457","18.963324","0","0","walk"
"484","182","-1444","462","6.736658","0","0","walk"
"485","385","-1342","540","7.305575","0","0","walk"
"486","291","-1444","579","6.517057","0","0","walk"
"487","-74","-1529","515","21.207237","0","0","walk"
"488","55","-1486","455","15.035755","0","0","walk"
"489","303","-1377","492","11.229319","0","0","walk"
"490","355","-1432","558","4.375444","0","0","walk"
"491","19","-1488","456","5.924354","0","0","walk"
"492","167","-1469","480","9.304477","0","0","walk"
"493","96","-1480","558","3.047886","0","0","walk"
"494","51","-1487","585","3.35289","0","0","walk"
"495","51","-1481","575","0","0","0","walk"
"496","51","-1485","572","0.119376","0","0","walk"
"497","56","-1480","575","0","0","0","walk"
"498","57","-1485","574","0","0","0","walk"
"499","60","-1487","572","0","0","0","walk"
"500","54","-1479","575","0.594549","0","0","walk"
"501","57","-1480","574","0.616498","0","0","walk"
"502","56","-1480","579","0.795957","0","0","walk"
"503","56","-1485","572","0.480529","0","0","walk"
"504","67","-1481","575","0","0","0","walk"
"505","63","-1489","576","0","0","0","walk"
"506","78","-1485","527","1.164188","0","0","walk"
"507","15","-1476","529","0","0","0","walk"
"508","39","-1476","486","14.987204","0","0","walk"
"509","198","-1455","463","17.927874","0","0","walk"
"510","639","-1479","449","26.176029","0","0","walk"
"511","367","-1396","552","7.54951","0","0","walk"
"512","391","-1512","576","15.772588","0","0","walk"
"513","42","-1440","583","3.781523","0","0","walk"
